Laptop Model,Processor,Processor Score,Graphics Card,Graphics Score,Battery Life,Battery Life Score,RAM,Storage,Walmart Price,Amazon Price,Best Buy Price,Official Website Price,Average Price,Cost Score,Student Discount,Student Discount Score,Performance Rating,Performance Rating Score,Reliability Rating,Reliability Score,Customer Rating,Customer Rating Score,Most Possible Defected Part,Most Possible Defected Part Score
HP Spectre x360 2-in-1,Intel Core i7-1265U,8,Intel Iris Xe,5,16.5 hours,8,16GB,512GB SSD,"$1,399","$1,419","$1,409","$1,439","$1,416",6.5,"10% off, free shipping",9,8.7,8.7,High,8,4.9,8.9,Battery,7
Razer Blade 16,Intel Core i7-13700H,8.5,Nvidia GeForce RTX 4060,8.5,5 hours,6,16GB,1TB SSD,Unavailable,"$2,799","$2,799","$2,799","$2,799",3.8,"10% off, free shipping",9,9.3,9.3,High,7.5,4.7,8.7,Battery,7
Razer Blade 16,Intel Core i9-13900H,9,Nvidia GeForce RTX 4080,9,5 hours,6,32GB,2TB SSD,Unavailable,"$3,499","$3,499","$3,499","$3,499",3,"10% off, free shipping",9,9.5,9.5,High,7.5,4.8,8.8,Battery,7
Razer Blade 14,AMD Ryzen 9 7940HS,8.5,Nvidia GeForce RTX 4060,8.5,10 hours,8,16GB,1TB SSD,Unavailable,"$2,199","$2,199","$2,199","$2,199",5,"10% off, free shipping",9,9.3,9.3,High,7.5,4.7,8.7,Battery,7
Razer Blade 14,AMD Ryzen 9 7945HS,9,Nvidia GeForce RTX 4080,9,10 hours,8,32GB,2TB SSD,Unavailable,"$2,799","$2,799","$2,799","$2,799",3.8,"10% off, free shipping",9,9.5,9.5,High,7.5,4.8,8.8,Battery,7
Dell Alienware m16 R2,Intel Core Ultra 7 155H,8,Nvidia GeForce RTX 4050,8,10 hours,8,16GB,1TB SSD,Unavailable,"$1,649.99","$1,649.99","$1,649.99","$1,649.99",7,"10% off, free shipping",9,9,9,High,7,4.7,8.7,Battery,7
Dell Alienware m16 R2,Intel Core Ultra 9 185H,8.5,Nvidia GeForce RTX 4070,8.5,10 hours,8,32GB,2TB SSD,Unavailable,"$2,399.99","$2,399.99","$2,399.99","$2,399.99",6.5,"10% off, free shipping",9,9.2,9.2,High,7,4.8,8.8,Battery,7
HP Omen Transcend 14,Intel Core i7-12650H,8,Nvidia GeForce RTX 3050,8,9 hours,7,16GB,512GB SSD,"$1,099.99","$1,119.99","$1,109.99","$1,139.99","$1,117.49",7,"10% off, free shipping",9,8.5,8.5,High,7,4.6,8.6,Battery,7
HP Omen Transcend 14,Intel Core i9-12950H,8.5,Nvidia GeForce RTX 3060,8.5,9 hours,7,32GB,1TB SSD,"$1,399.99","$1,419.99","$1,409.99","$1,439.99","$1,417.49",6.5,"10% off, free shipping",9,8.7,8.7,High,7,4.7,8.7,Battery,7
HP Omen Transcend 16,Intel Core i7-13650H,8.5,Nvidia GeForce RTX 4060,8.5,9 hours,7,16GB,1TB SSD,"$1,599.99","$1,619.99","$1,609.99","$1,639.99","$1,617.49",6,"10% off, free shipping",9,8.8,8.8,High,7,4.8,8.8,Battery,7
HP Omen Transcend 16,Intel Core i9-13950H,9,Nvidia GeForce RTX 4070,9,9 hours,7,32GB,2TB SSD,"$1,899.99","$1,919.99","$1,909.99","$1,939.99","$1,917.49",5.5,"10% off, free shipping",9,9,9,High,7,4.9,8.9,Battery,7
MSI Titan 18 HX,Intel Core i9-14900HX,9,Nvidia GeForce RTX 4090,9,4 hours,5,32GB,2TB SSD,Unavailable,"$5,299","$5,034.99","$6,049","$5,434.99",3,"10% off, free shipping",9,9.5,9.5,High,7,4.8,8.8,Battery,7
MSI Titan 18 HX,Intel Core i9-14900HX,9,Nvidia GeForce RTX 4080,8.5,4 hours,5,32GB,1TB SSD,Unavailable,"$5,499","$5,499","$5,499","$5,499",3,"10% off, free shipping",9,9.3,9.3,High,7,4.8,8.8,Battery,7
